,imLoc,jVel,jPos,eeVel,eePos,cPos
0,/images/episode_0/run_0/step_0.jpg,"0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,-0.6981316804885864,0.0,-2.094395160675049,0.0,1.0471975803375244,0.0","0.00030419230461120605,1.2088103294372559,0.48172810673713684","0.0,0.0,0.0,0.0,0.0,0.0","-0.05966774374246597,0.7604691982269287,0.02500000037252903"
1,/images/episode_0/run_0/step_1.jpg,"-0.15287399291992188,0.1248931884765625,0.059342384338378906,-0.006661415100097656,0.05516529083251953,-0.42743682861328125,0.2766084671020508","-0.007643699645996094,-0.6918870210647583,0.0029671192169189453,-2.094395160675049,0.0027582645416259766,1.0258257389068604,0.013830423355102539","-0.000340387225151062,1.2023369073867798,0.4825451374053955","-0.012894868850708008,-0.12865543365478516,0.012622475624084473,-0.32118484377861023,-0.2151244729757309,-0.3450292944908142","-0.05966774374246597,0.7604691982269287,0.024967018514871597"
2,/images/episode_0/run_0/step_2.jpg,"-0.16696929931640625,0.15048503875732422,0.0725555419921875,-0.0046825408935546875,0.05446910858154297,-0.46103477478027344,0.29856204986572266","-0.015992164611816406,-0.6843627691268921,0.00659489631652832,-2.094395160675049,0.005481719970703125,1.0027740001678467,0.028758525848388672","-0.0009790584444999695,1.196397066116333,0.48402225971221924","-0.01278221607208252,-0.11820793151855469,0.026891231536865234,-0.3071117699146271,-0.20058512687683105,-0.32844629883766174","-0.05966774374246597,0.7604691982269287,0.02499639242887497"
3,/images/episode_0/run_0/step_3.jpg,"-0.1639842987060547,0.16135692596435547,0.0782632827758789,-0.0025320053100585938,0.04822254180908203,-0.44754981994628906,0.2901268005371094","-0.02419137954711914,-0.6762949228286743,0.010508060455322266,-2.094395160675049,0.007892847061157227,0.9803965091705322,0.04326486587524414","-0.0016066208481788635,1.1905882358551025,0.4853462874889374","-0.012564510107040405,-0.11585235595703125,0.025016069412231445,-0.28692328929901123,-0.18866822123527527,-0.3125489354133606","-0.05966774374246597,0.7604691982269287,0.024999547749757767"
4,/images/episode_0/run_0/step_4.jpg,"-0.16094207763671875,0.17182350158691406,0.08312225341796875,-0.0014400482177734375,0.042400360107421875,-0.43453216552734375,0.2819204330444336","-0.03223848342895508,-0.6677037477493286,0.014664173126220703,-2.094395160675049,0.01001286506652832,0.958669900894165,0.05736088752746582","-0.002221822738647461,1.1848911046981812,0.4864671230316162","-0.01232042908668518,-0.11376380920410156,0.021558403968811035,-0.2648410499095917,-0.1777220368385315,-0.2975064814090729","-0.05966774374246597,0.7604691982269287,0.024999886751174927"
5,/images/episode_0/run_0/step_5.jpg,"-0.15787601470947266,0.1818084716796875,0.08729934692382812,-0.0009107589721679688,0.037026405334472656,-0.42206764221191406,0.27390480041503906","-0.04013228416442871,-0.6586133241653442,0.01902914047241211,-2.094395160675049,0.011864185333251953,0.9375665187835693,0.07105612754821777","-0.0028321146965026855,1.1791409254074097,0.4872162342071533","-0.012221932411193848,-0.11484622955322266,0.014424324035644531,-0.2431361973285675,-0.1679113507270813,-0.28335729241371155","-0.05966774374246597,0.7604691982269287,0.024999922141432762"
6,/images/episode_0/run_0/step_6.jpg,"-0.15468120574951172,0.19098281860351562,0.09081840515136719,-0.0005245208740234375,0.032024383544921875,-0.4101753234863281,0.2660942077636719","-0.0478663444519043,-0.6490641832351685,0.02357006072998047,-2.094395160675049,0.013465404510498047,0.9170577526092529,0.08436083793640137","-0.0034252554178237915,1.173478603363037,0.48774898052215576","-0.01187741756439209,-0.11315584182739258,0.01031637191772461,-0.2228822559118271,-0.15887363255023956,-0.2693770229816437","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
7,/images/episode_0/run_0/step_7.jpg,"-0.15148162841796875,0.19977092742919922,0.0937509536743164,-0.00040531158447265625,0.027265548706054688,-0.3989696502685547,0.25846004486083984","-0.055440425872802734,-0.6390756368637085,0.02825760841369629,-2.094395160675049,0.014828681945800781,0.8971092700958252,0.09728384017944336","-0.004010610282421112,1.167912244796753,0.4880729913711548","-0.011726319789886475,-0.11123418807983398,0.006210207939147949,-0.20316289365291595,-0.15067744255065918,-0.256331205368042","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
8,/images/episode_0/run_0/step_8.jpg,"-0.1482391357421875,0.20795822143554688,0.09617328643798828,-0.00031948089599609375,0.02277374267578125,-0.3885459899902344,0.2510499954223633","-0.06285238265991211,-0.6286777257919312,0.0330662727355957,-2.094395160675049,0.015967369079589844,0.8776819705963135,0.10983633995056152","-0.0045930445194244385,1.1622834205627441,0.4880427420139313","-0.011674612760543823,-0.11249065399169922,-0.0008237361907958984,-0.18485629558563232,-0.14304952323436737,-0.2439320981502533","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
9,/images/episode_0/run_0/step_9.jpg,"-0.14498233795166016,0.21564960479736328,0.09820938110351562,-0.00028133392333984375,0.01854419708251953,-0.37871360778808594,0.24382591247558594","-0.07010149955749512,-0.617895245552063,0.037976741790771484,-2.094395160675049,0.01689457893371582,0.8587462902069092,0.12202763557434082","-0.005162626504898071,1.156731128692627,0.4878023862838745","-0.011406689882278442,-0.11095046997070312,-0.005004405975341797,-0.16747049987316132,-0.1360674649477005,-0.23176586627960205","-0.05966774374246597,0.7604691982269287,0.02499992400407791"
